City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,pokhvistnevo,53.6524,52.1274,252.98,89,4,1.6,RU,1674082771
102,codrington,-38.2667,141.9667,288.06,52,100,6.48,AU,1674082772
103,williams lake,52.1415,-122.1445,275.91,86,100,4.63,CA,1674082773
104,clyde river,70.4692,-68.5914,242.28,69,0,4.12,CA,1674082774
105,the pas,53.8251,-101.2541,260.16,85,20,3.6,CA,1674082775
106,sorland,67.667,12.6934,276.07,70,100,3.9,NO,1674082775
107,okhotsk,59.3833,143.3,246.81,78,100,3.73,RU,1674082776
108,kavieng,-2.5744,150.7967,302.09,70,87,4.08,PG,1674082778
109,puerto ayora,-0.7393,-90.3518,301.13,91,90,2.24,EC,1674082779
110,gravdal,68.1214,13.5031,273.49,74,100,4.8,NO,1674082779
111,tuatapere,-46.1333,167.6833,295.14,48,36,0.44,NZ,1674082780
112,lorengau,-2.0226,147.2712,301.39,76,98,3.51,PG,1674082781
113,cabo san lucas,22.8909,-109.9124,296.82,64,100,2.83,MX,1674082659
114,touros,-5.1989,-35.4608,299.4,77,79,5.34,BR,1674082782
115,sitka,57.0531,-135.33,277.22,78,30,2.84,US,1674082783
116,whitehorse,60.7161,-135.0538,268.58,80,75,6.17,CA,1674082784
